Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills*,13,4,0.765,525,368,157,9.2,-1.1,8.1,7.8,0.3
Miami Dolphins,8,9,0.471,345,364,-19,-1.1,-1.9,-3,-3.5,0.4
New York Jets,5,12,0.294,338,404,-66,-3.9,-0.5,-4.3,-3,-1.4
New England Patriots,4,13,0.235,289,417,-128,-7.5,-0.6,-8.1,-6.2,-1.9
Baltimore Ravens*,12,5,0.706,518,361,157,9.2,0.6,9.9,8,1.9
Pittsburgh Steelers+,10,7,0.588,380,347,33,1.9,0.1,2.1,-0.7,2.8
Cincinnati Bengals,9,8,0.529,472,434,38,2.2,-0.8,1.4,5,-3.6
Cleveland Browns,3,14,0.176,258,435,-177,-10.4,1.2,-9.2,-7.1,-2.1
Houston Texans*,10,7,0.588,372,372,0,0,-0.7,-0.7,-1.5,0.8
Indianapolis Colts,8,9,0.471,377,427,-50,-2.9,-0.7,-3.7,-0.5,-3.2
Jacksonville Jaguars,4,13,0.235,320,435,-115,-6.8,-0.8,-7.5,-4.2,-3.4
Tennessee Titans,3,14,0.176,311,460,-149,-8.8,0.4,-8.4,-4.7,-3.7
Kansas City Chiefs*,15,2,0.882,385,326,59,3.5,0.7,4.2,-0.2,4.4
Los Angeles Chargers+,11,6,0.647,402,301,101,5.9,-0.6,5.3,0.6,4.7
Denver Broncos+,10,7,0.588,425,311,114,6.7,-0.3,6.4,2.1,4.3
Las Vegas Raiders,4,13,0.235,309,434,-125,-7.4,1,-6.4,-3.9,-2.5
Philadelphia Eagles*,14,3,0.824,463,303,160,9.4,-1.7,7.7,3,4.7
Washington Commanders+,12,5,0.706,485,391,94,5.5,-1.8,3.7,4.9,-1.2
Dallas Cowboys,7,10,0.412,350,468,-118,-6.9,0.6,-6.3,-2.6,-3.7
New York Giants,3,14,0.176,273,415,-142,-8.4,0.3,-8,-7.5,-0.5
Detroit Lions*,15,2,0.882,564,342,222,13.1,0.7,13.8,10.6,3.2
Minnesota Vikings+,14,3,0.824,432,332,100,5.9,0.3,6.2,2.8,3.4
Green Bay Packers+,11,6,0.647,460,338,122,7.2,0.9,8.1,4.9,3.2
Chicago Bears,5,12,0.294,310,370,-60,-3.5,1.2,-2.3,-4.8,2.4
Tampa Bay Buccaneers*,10,7,0.588,502,385,117,6.9,-0.4,6.4,6,0.4
Atlanta Falcons,8,9,0.471,389,423,-34,-2,-0.2,-2.2,0,-2.2
Carolina Panthers,5,12,0.294,341,534,-193,-11.4,0.4,-11,-2.6,-8.4
New Orleans Saints,5,12,0.294,338,398,-60,-3.5,-0.6,-4.1,-3.6,-0.5
Los Angeles Rams*,10,7,0.588,367,386,-19,-1.1,1.1,-0.1,-0.6,0.6
Seattle Seahawks,10,7,0.588,375,368,7,0.4,0.8,1.3,-0.3,1.5
Arizona Cardinals,8,9,0.471,400,379,21,1.2,0.9,2.1,0.8,1.2
San Francisco 49ers,6,11,0.353,389,436,-47,-2.8,1.6,-1.2,0.9,-2.1